Day,StartTime,EndTime,Course,Group,Room
TUESDAY,08:00,08:50,Cryptography,CSE-CS 2.2,B106
FRIDAY,14:00,14:50,Cryptography,CSE-CS 2.2,A302
WEDNESDAY,10:00,10:50,Cryptography,CSE-CS 2.2,A304
WEDNESDAY,15:50,17:30,Cryptography,CSE-CS 2.2,JL1
SATURDAY,08:00,09:40,Cryptography,CSE-CS 2.2,TLFL3
WEDNESDAY,11:00,11:50,Ethical Hacking,CSE-CS 3.1,B423
MONDAY,11:00,11:50,Ethical Hacking,CSE-CS 3.1,B219
MONDAY,10:00,10:50,Ethical Hacking,CSE-CS 3.1,A211
SATURDAY,09:50,11:30,Ethical Hacking,CSE-CS 3.1,TLFR1
TUESDAY,09:50,11:30,Ethical Hacking,CSE-CS 3.1,JL1
