Day,StartTime,EndTime,Course,Group,Room
SATURDAY,08:00,08:50,Fundamentals of Mobile Computing,CSE 3.4,A104/105
SATURDAY,10:00,10:50,Fundamentals of Mobile Computing,CSE 3.4,B402
FRIDAY,16:00,16:50,Fundamentals of Mobile Computing,CSE 3.4,B416
THURSDAY,16:00,16:50,Computer Networks,CSE 3.5,A110
FRIDAY,11:00,11:50,Computer Networks,CSE 3.5,B402
WEDNESDAY,17:00,17:50,Computer Networks,CSE 3.5,B419
TUESDAY,15:50,17:30,Computer Networks,CSE 3.5,TLGL4
THURSDAY,13:50,15:30,Computer Networks,CSE 3.5,KFR03
TUESDAY,11:50,13:30,Computer Networks,CSE 3.5,KFR02
SATURDAY,13:50,15:30,Computer Networks,CSE 3.5,JR1
