Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,13:00,13:50,Operating Systems,CSD 3.1,B213
FRIDAY,10:00,10:50,Operating Systems,CSD 3.1,B402
FRIDAY,17:00,17:50,Operating Systems,CSD 3.1,C307
THURSDAY,17:30,19:10,Operating Systems,CSD 3.1,TLGL4
THURSDAY,15:50,17:30,Operating Systems,CSD 3.1,TLFL4
SATURDAY,11:50,13:30,Operating Systems,CSD 3.1,TLFR4
TUESDAY,13:50,15:30,Operating Systems,CSD 3.1,JR2
WEDNESDAY,11:00,11:50,Foundations of Machine Learning Concepts,CSD 4.1,A205
SATURDAY,10:00,10:50,Foundations of Machine Learning Concepts,CSD 4.1,C102
FRIDAY,11:50,13:30,Foundations of Machine Learning Concepts,CSD 4.1,TLFL4
FRIDAY,13:50,15:30,Foundations of Machine Learning Concepts,CSD 4.1,TLFR5
