Day,StartTime,EndTime,Course,Group,Room
MONDAY,12:00,12:50,URBAN PLANNING AND DEVELOPMENT,CIVIL 3.1,B106
TUESDAY,14:00,14:50,URBAN PLANNING AND DEVELOPMENT,CIVIL 3.1,B106
WEDNESDAY,14:00,14:50,URBAN PLANNING AND DEVELOPMENT,CIVIL 3.1,A104/105
FRIDAY,13:50,15:30,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING,CIVIL 4.1,Classroom
FRIDAY,11:50,13:30,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING,CIVIL 4.1,Classroom
FRIDAY,17:30,19:10,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING,CIVIL 4.1,Classroom
THURSDAY,15:50,17:30,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING,CIVIL 4.1,Classroom
THURSDAY,18:00,18:50,WATER RESOURCES AND IRRIGATION ENGINEERING,CIVIL 4.1,B401
TUESDAY,16:00,16:50,WATER RESOURCES AND IRRIGATION ENGINEERING,CIVIL 4.1,B403
WEDNESDAY,09:00,09:50,WATER RESOURCES AND IRRIGATION ENGINEERING,CIVIL 4.1,A309
