Day,StartTime,EndTime,Course,Group,Room
THURSDAY,14:00,14:50,Database Management Systems,IT 2.1,B325
SATURDAY,11:00,11:50,Database Management Systems,IT 2.1,C302
TUESDAY,10:00,10:50,Database Management Systems,IT 2.1,C307
THURSDAY,09:50,11:30,Database Management Systems,IT 2.1,TLFR5
FRIDAY,15:50,17:30,Database Management Systems,IT 2.1,TLFL5
WEDNESDAY,15:50,17:30,Database Management Systems,IT 2.1,TLGL3
THURSDAY,11:50,13:30,Database Management Systems,IT 2.1,KFL01
TUESDAY,13:00,13:50,Database Management Systems,IT 2.5,A304
WEDNESDAY,18:00,18:50,Database Management Systems,IT 2.5,B325
THURSDAY,17:00,17:50,Database Management Systems,IT 2.5,A202
TUESDAY,15:50,17:30,Database Management Systems,IT 2.5,KFR02
SATURDAY,08:00,09:40,Database Management Systems,IT 2.5,JL2
FRIDAY,13:50,15:30,Database Management Systems,IT 2.5,TLFL4
TUESDAY,13:50,15:30,Database Management Systems,IT 2.5,TLFL4
