Day,StartTime,EndTime,Course,Group,Room
TUESDAY,15:00,15:50,Stoichiometry and Fluid Mechanics,BT 2.1,A305
FRIDAY,09:00,09:50,Stoichiometry and Fluid Mechanics,BT 2.1,B401
WEDNESDAY,12:00,12:50,Stoichiometry and Fluid Mechanics,BT 2.1,C102
SATURDAY,13:00,13:50,Stoichiometry and Fluid Mechanics,BT 2.1,A305
FRIDAY,17:00,17:50,Stoichiometry and Fluid Mechanics,BT 2.3,B405
WEDNESDAY,16:00,16:50,Stoichiometry and Fluid Mechanics,BT 2.3,B424
THURSDAY,16:00,16:50,Stoichiometry and Fluid Mechanics,BT 2.3,A103
SATURDAY,16:00,16:50,Stoichiometry and Fluid Mechanics,BT 2.3,A210
WEDNESDAY,17:00,17:50,Analytical Techniques in Biotechnology,BT 2.1,A308
SATURDAY,17:00,17:50,Analytical Techniques in Biotechnology,BT 2.1,B219
THURSDAY,09:50,11:30,Analytical Techniques in Biotechnology,BT 2.1,Biochemistry Lab
FRIDAY,09:50,11:30,Analytical Techniques in Biotechnology,BT 2.1,Biochemistry Lab
