Day,StartTime,EndTime,Course,Group,Room
TUESDAY,12:00,12:50,Enzyme Technology and Biotransformations,BT 2.1,B423
FRIDAY,11:00,11:50,Enzyme Technology and Biotransformations,BT 2.1,A103
SATURDAY,14:00,14:50,Enzyme Technology and Biotransformations,BT 2.1,B409
SATURDAY,12:00,12:50,Enzyme Technology and Biotransformations,BT 2.3,C102
SATURDAY,18:00,18:50,Enzyme Technology and Biotransformations,BT 2.3,A209
TUESDAY,14:00,14:50,Enzyme Technology and Biotransformations,BT 2.3,C301
FRIDAY,15:50,17:30,Bioinformatics Laboratory,BT 3.1,Mechatronics Lab
WEDNESDAY,13:50,15:30,Bioinformatics Laboratory,BT 3.1,Food Chemistry Lab
THURSDAY,11:50,13:30,Bioinformatics Laboratory,BT 3.1,Aerodynamics Lab
TUESDAY,09:50,11:30,Bioinformatics Laboratory,BT 3.1,Microprocessor Lab-1
