Day,StartTime,EndTime,Course,Group,Room
MONDAY,15:50,17:30,Manufacturing Technology Laboratory I,MECH 2.2,Manufacturing Technology I
MONDAY,17:30,19:10,Manufacturing Technology Laboratory I,MECH 2.2,Manufacturing Technology I
FRIDAY,11:00,11:50,Non-Destructive Testing and Evaluation,MECH 4.1,A202
TUESDAY,14:00,14:50,Non-Destructive Testing and Evaluation,MECH 4.1,B321
TUESDAY,16:00,16:50,Non-Destructive Testing and Evaluation,MECH 4.1,A302
WEDNESDAY,10:00,10:50,Non-Destructive Testing and Evaluation,MECH 4.2,B410
WEDNESDAY,15:00,15:50,Non-Destructive Testing and Evaluation,MECH 4.2,B418
TUESDAY,17:00,17:50,Non-Destructive Testing and Evaluation,MECH 4.2,C307
THURSDAY,12:00,12:50,Non-Destructive Testing and Evaluation,MECH 4.3,B402
TUESDAY,12:00,12:50,Non-Destructive Testing and Evaluation,MECH 4.3,C301
THURSDAY,11:00,11:50,Non-Destructive Testing and Evaluation,MECH 4.3,A104/105
