Day,StartTime,EndTime,Course,Group,Room
FRIDAY,11:00,11:50,Petroleum chemistry and Refining Fundamemtals,CHEM 3.1,B404
MONDAY,15:00,15:50,Petroleum chemistry and Refining Fundamemtals,CHEM 3.1,A311
TUESDAY,14:00,14:50,Petroleum chemistry and Refining Fundamemtals,CHEM 3.1,A104/105
WEDNESDAY,13:50,15:30,Process Control Lab,CHEM 4.1,Process Control Lab
THURSDAY,17:30,19:10,Process Control Lab,CHEM 4.1,Process Control Lab
TUESDAY,11:50,13:30,Process Control Lab,CHEM 4.1,Process Control Lab
THURSDAY,15:50,17:30,Process Control Lab,CHEM 4.1,Process Control Lab
WEDNESDAY,09:00,09:50,Transport Phenomena,CHEM 4.1,A308
MONDAY,17:00,17:50,Transport Phenomena,CHEM 4.1,C307
FRIDAY,18:00,18:50,Transport Phenomena,CHEM 4.1,B426
TUESDAY,17:00,17:50,Transport Phenomena,CHEM 4.1,A109
