Day,StartTime,EndTime,Course,Group,Room
THURSDAY,09:00,09:50,Electronic Devices & Circuits,BME 2.1,A104/105
SATURDAY,10:00,10:50,Electronic Devices & Circuits,BME 2.1,A103
WEDNESDAY,16:00,16:50,Electronic Devices & Circuits,BME 2.1,B423
WEDNESDAY,11:50,13:30,Electronic Devices & Circuits,BME 2.1,Electronics and Instrumentation
THURSDAY,13:50,15:30,Electronic Devices & Circuits,BME 2.1,Electronics and Instrumentation
TUESDAY,09:50,11:30,Soft Skills – II,BME 3.1,JL3
SATURDAY,11:50,13:30,Soft Skills – II,BME 3.1,TLFL5
SATURDAY,16:00,16:50,Rehabilitation Engineering,BME 4.1,C103
SATURDAY,14:00,14:50,Rehabilitation Engineering,BME 4.1,B405
THURSDAY,10:00,10:50,Rehabilitation Engineering,BME 4.1,B107
