Day,StartTime,EndTime,Course,Group,Room
FRIDAY,17:30,19:10,Design Thinking and Innovation,EEE 3.1,Electronic Devices & Circuits Lab
FRIDAY,11:50,13:30,Design Thinking and Innovation,EEE 3.1,Electronic Devices & Circuits Lab
TUESDAY,17:30,19:10,Design Thinking and Innovation,EEE 3.1,Electronic Devices & Circuits Lab
TUESDAY,13:50,15:30,Design Thinking and Innovation,EEE 3.1,Electronic Devices & Circuits Lab
THURSDAY,11:50,13:30,Wiring Harness Design Engineering,EEE 3.1,Genetic Engineering Lab
MONDAY,13:50,15:30,Wiring Harness Design Engineering,EEE 3.1,Thermal Lab 2
MONDAY,17:30,19:10,Wiring Harness Design Engineering,EEE 3.1,Microprocessor Lab-1
MONDAY,11:50,13:30,Wiring Harness Design Engineering,EEE 3.1,Microprocessor Lab-1
THURSDAY,09:50,11:30,Wiring Harness Design Engineering,EEE 3.1,Power Electronics Lab
THURSDAY,08:00,09:40,Wiring Harness Design Engineering,EEE 3.1,Genetic Engineering Lab
