Day,StartTime,EndTime,Course,Group,Room
FRIDAY,16:00,16:50,Design and Analysis of Algorithms,CSE 2.6,B423
TUESDAY,13:00,13:50,Design and Analysis of Algorithms,CSE 2.6,A203
MONDAY,09:00,09:50,Design and Analysis of Algorithms,CSE 2.6,A110
TUESDAY,08:00,09:40,Design and Analysis of Algorithms,CSE 2.6,TLFR1
TUESDAY,13:50,15:30,Design and Analysis of Algorithms,CSE 2.6,TLFR4
THURSDAY,15:00,15:50,Fundamentals of Data Science,CSE 2.6,B221
THURSDAY,10:00,10:50,Fundamentals of Data Science,CSE 2.6,B405
THURSDAY,18:00,18:50,Fundamentals of Data Science,CSE 2.6,B403
FRIDAY,08:00,09:40,Fundamentals of Data Science,CSE 2.6,JR1
THURSDAY,11:50,13:30,Fundamentals of Data Science,CSE 2.6,TLFR5
