Day,StartTime,EndTime,Course,Group,Room
SATURDAY,13:00,13:50,Computer Networks,AIML 3.2,A211
WEDNESDAY,14:00,14:50,Computer Networks,AIML 3.2,B408
WEDNESDAY,13:00,13:50,Computer Networks,AIML 3.2,B325
THURSDAY,11:50,13:30,Computer Networks,AIML 3.2,JR1
THURSDAY,08:00,09:40,Computer Networks,AIML 3.2,KFL02
SATURDAY,08:00,09:40,Computer Networks,AIML 3.2,TLGL1
FRIDAY,11:50,13:30,Computer Networks,AIML 3.2,KFR01
TUESDAY,10:00,10:50,Data Visualization using Python (Professional Elective III),AIML 4.2,B423
TUESDAY,09:00,09:50,Data Visualization using Python (Professional Elective III),AIML 4.2,A104/105
FRIDAY,17:30,19:10,Data Visualization using Python (Professional Elective III),AIML 4.2,TLFL4
FRIDAY,15:50,17:30,Data Visualization using Python (Professional Elective III),AIML 4.2,KFR03
