Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,13:00,13:50,Database Management Systems,IT 2.4,B415
WEDNESDAY,14:00,14:50,Database Management Systems,IT 2.4,B325
FRIDAY,15:00,15:50,Database Management Systems,IT 2.4,C307
FRIDAY,11:50,13:30,Database Management Systems,IT 2.4,TLGL4
SATURDAY,17:30,19:10,Database Management Systems,IT 2.4,TLFR4
WEDNESDAY,15:50,17:30,Database Management Systems,IT 2.4,TLFR5
SATURDAY,13:50,15:30,Database Management Systems,IT 2.4,TLFL5
MONDAY,09:50,11:30,Industry Practices Lab,IT 4.3,TLFR3
TUESDAY,13:50,15:30,Industry Practices Lab,IT 4.3,KSL03
THURSDAY,09:50,11:30,Industry Practices Lab,IT 4.3,KFR02
MONDAY,13:50,15:30,Industry Practices Lab,IT 4.3,TLGL4
