Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,08:00,09:40,Computer Aided Machine Drawing Laboratory,AUTO 2.1,Auto CAD Lab
FRIDAY,11:50,13:30,Computer Aided Machine Drawing Laboratory,AUTO 2.1,Auto CAD Lab
TUESDAY,08:00,09:40,Computer Aided Vehicle Design Data Characteristics Laboratory,AUTO 3.1,Auto CAD Lab
MONDAY,16:00,16:50,Automotive Electrical and Electronics,AUTO 3.1,B219
THURSDAY,15:00,15:50,Automotive Electrical and Electronics,AUTO 3.1,B302
THURSDAY,10:00,10:50,Automotive Electrical and Electronics,AUTO 3.1,A311
MONDAY,13:50,15:30,Automotive Electrical and Electronics,AUTO 3.1,Electrical Machines I Lab
MONDAY,08:00,08:50,Intelligent Vehicle System,AUTO 4.1,A204
MONDAY,09:00,09:50,Intelligent Vehicle System,AUTO 4.1,A109
WEDNESDAY,10:00,10:50,Intelligent Vehicle System,AUTO 4.1,C103
