Day,StartTime,EndTime,Course,Group,Room
FRIDAY,10:00,10:50,Theory of Computation,CSE 3.1,B210
TUESDAY,13:00,13:50,Theory of Computation,CSE 3.1,A210
SATURDAY,15:00,15:50,Theory of Computation,CSE 3.1,B220
TUESDAY,10:00,10:50,Theory of Computation,CSE 3.1,B221
FRIDAY,17:00,17:50,Theory of Computation,CSE 3.6,B404
WEDNESDAY,18:00,18:50,Theory of Computation,CSE 3.6,B405
THURSDAY,09:00,09:50,Theory of Computation,CSE 3.6,A104/105
SATURDAY,08:00,08:50,Theory of Computation,CSE 3.6,B410
FRIDAY,13:00,13:50,Web Programming,CSE 3.6,B404
FRIDAY,16:00,16:50,Web Programming,CSE 3.6,B401
THURSDAY,12:00,12:50,Web Programming,CSE 3.6,B401
SATURDAY,09:50,11:30,Web Programming,CSE 3.6,TLFR1
WEDNESDAY,13:50,15:30,Web Programming,CSE 3.6,JR3
THURSDAY,15:50,17:30,Web Programming,CSE 3.6,TLFR2
WEDNESDAY,11:50,13:30,Web Programming,CSE 3.6,TLFR4
