Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,14:00,14:50,Web Programming,IT 3.1,A202
FRIDAY,13:00,13:50,Web Programming,IT 3.1,B402
FRIDAY,14:00,14:50,Web Programming,IT 3.1,A309
FRIDAY,17:30,19:10,Web Programming,IT 3.1,JL3
WEDNESDAY,08:00,09:40,Web Programming,IT 3.1,TLFL3
MONDAY,09:50,11:30,Web Programming,IT 3.1,TLGL1
FRIDAY,15:50,17:30,Web Programming,IT 3.1,JL2
WEDNESDAY,10:00,10:50,Web Programming,IT 3.4,B401
WEDNESDAY,13:00,13:50,Web Programming,IT 3.4,A204
WEDNESDAY,11:00,11:50,Web Programming,IT 3.4,C202
THURSDAY,17:30,19:10,Web Programming,IT 3.4,TLFR5
MONDAY,13:50,15:30,Web Programming,IT 3.4,KFR03
THURSDAY,15:50,17:30,Web Programming,IT 3.4,TLGL2
TUESDAY,11:50,13:30,Web Programming,IT 3.4,JL1
