Day,StartTime,EndTime,Course,Group,Room
TUESDAY,10:00,10:50,Database Technology,CSBS 2.1,A309
THURSDAY,18:00,18:50,Database Technology,CSBS 2.1,A102
MONDAY,15:00,15:50,Database Technology,CSBS 2.1,B412
MONDAY,17:30,19:10,Database Technology,CSBS 2.1,TLFL4
MONDAY,15:50,17:30,Database Technology,CSBS 2.1,TLFR5
WEDNESDAY,12:00,12:50,Usability Design of Software  Applications,CSBS 4.1,B425
WEDNESDAY,10:00,10:50,Usability Design of Software  Applications,CSBS 4.1,A309
MONDAY,11:00,11:50,Usability Design of Software  Applications,CSBS 4.1,C101
FRIDAY,08:00,09:40,Usability Design of Software  Applications,CSBS 4.1,TLFL4
TUESDAY,08:00,09:40,Usability Design of Software  Applications,CSBS 4.1,TLFR4
