Day,StartTime,EndTime,Course,Group,Room
MONDAY,16:00,16:50,Fundamentals of Machine Learning,AIML 2.2,A103
THURSDAY,08:00,08:50,Fundamentals of Machine Learning,AIML 2.2,B417
TUESDAY,13:00,13:50,Fundamentals of Machine Learning,AIML 2.2,B222
WEDNESDAY,17:30,19:10,Fundamentals of Machine Learning,AIML 2.2,TLFL3
THURSDAY,11:50,13:30,Fundamentals of Machine Learning,AIML 2.2,KFL02
SATURDAY,17:00,17:50,Framework for data and visual Analytics,AIML 3.2,A305
THURSDAY,15:00,15:50,Framework for data and visual Analytics,AIML 3.2,B402
FRIDAY,17:00,17:50,Framework for data and visual Analytics,AIML 3.2,A205
TUESDAY,15:50,17:30,Framework for data and visual Analytics,AIML 3.2,TLGL3
SATURDAY,13:50,15:30,Framework for data and visual Analytics,AIML 3.2,TLFL4
