Day,StartTime,EndTime,Course,Group,Room
FRIDAY,16:00,16:50,Computer Vision and Applications,AIML 3.1,B417
FRIDAY,10:00,10:50,Computer Vision and Applications,AIML 3.1,A303
FRIDAY,11:50,13:30,Computer Vision and Applications,AIML 3.1,TLFL4
WEDNESDAY,15:50,17:30,Computer Vision and Applications,AIML 3.1,KFL02
FRIDAY,15:00,15:50,Computer Vision and Applications,AIML 3.3,B417
SATURDAY,15:00,15:50,Computer Vision and Applications,AIML 3.3,B405
THURSDAY,13:50,15:30,Computer Vision and Applications,AIML 3.3,KFR01
WEDNESDAY,13:50,15:30,Computer Vision and Applications,AIML 3.3,TLFR2
TUESDAY,10:00,10:50,Big Data Technology,AIML 4.1,A203
TUESDAY,16:00,16:50,Big Data Technology,AIML 4.1,A308
FRIDAY,18:00,18:50,Big Data Technology,AIML 4.1,A205
THURSDAY,17:30,19:10,Big Data Technology,AIML 4.1,JL3
SATURDAY,09:50,11:30,Big Data Technology,AIML 4.1,JL2
