Day,StartTime,EndTime,Course,Group,Room
FRIDAY,15:00,15:50,Object Oriented Programming Using JAVA,AIML 2.2,A104/105
FRIDAY,13:00,13:50,Object Oriented Programming Using JAVA,AIML 2.2,B417
FRIDAY,16:00,16:50,Object Oriented Programming Using JAVA,AIML 2.2,C102
THURSDAY,17:30,19:10,Object Oriented Programming Using JAVA,AIML 2.2,JR2
MONDAY,13:50,15:30,Object Oriented Programming Using JAVA,AIML 2.2,TLFR2
WEDNESDAY,11:50,13:30,Object Oriented Programming Using JAVA,AIML 2.2,KFL02
TUESDAY,13:50,15:30,Object Oriented Programming Using JAVA,AIML 2.2,JR1
TUESDAY,18:00,18:50,DataEngineering,AIML 3.1,B220
FRIDAY,08:00,08:50,DataEngineering,AIML 3.1,B424
SATURDAY,18:00,18:50,DataEngineering,AIML 3.1,B405
