Day,StartTime,EndTime,Course,Group,Room
MONDAY,10:00,10:50,Principles of Artificial Intelligence,IT 3.1,B418
WEDNESDAY,11:00,11:50,Principles of Artificial Intelligence,IT 3.1,B107
FRIDAY,16:00,16:50,Principles of Artificial Intelligence,IT 3.1,C101
FRIDAY,17:30,19:10,Principles of Artificial Intelligence,IT 3.1,KFR03
THURSDAY,09:50,11:30,Principles of Artificial Intelligence,IT 3.1,JL1
TUESDAY,09:00,09:50,Principles of Artificial Intelligence,IT 3.4,B419
TUESDAY,15:00,15:50,Principles of Artificial Intelligence,IT 3.4,B222
MONDAY,12:00,12:50,Principles of Artificial Intelligence,IT 3.4,A102
TUESDAY,15:50,17:30,Principles of Artificial Intelligence,IT 3.4,KSL03
THURSDAY,15:50,17:30,Principles of Artificial Intelligence,IT 3.4,KFL01
