Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,10:00,10:50,Object Oriented Programming Using JAVA,CSE 2.7,C302
TUESDAY,14:00,14:50,Object Oriented Programming Using JAVA,CSE 2.7,C302
WEDNESDAY,16:00,16:50,Object Oriented Programming Using JAVA,CSE 2.7,A304
MONDAY,08:00,09:40,Object Oriented Programming Using JAVA,CSE 2.7,TLFR2
WEDNESDAY,11:50,13:30,Object Oriented Programming Using JAVA,CSE 2.7,JR2
THURSDAY,17:30,19:10,Object Oriented Programming Using JAVA,CSE 2.7,TLFL5
TUESDAY,17:30,19:10,Object Oriented Programming Using JAVA,CSE 2.7,TLFL3
WEDNESDAY,18:00,18:50,Foundations of Artificial Intelligence,CSE 3.1,B325
SATURDAY,09:00,09:50,Foundations of Artificial Intelligence,CSE 3.1,B320
WEDNESDAY,17:00,17:50,Foundations of Artificial Intelligence,CSE 3.1,C308
TUESDAY,15:50,17:30,Foundations of Artificial Intelligence,CSE 3.1,TLFL4
FRIDAY,13:50,15:30,Foundations of Artificial Intelligence,CSE 3.1,JL2
