Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,09:00,09:50,Computer Architecture,CSE 2.9,C102
TUESDAY,16:00,16:50,Computer Architecture,CSE 2.9,A104/105
FRIDAY,16:00,16:50,Computer Architecture,CSE 2.9,B410
TUESDAY,11:00,11:50,Design and Analysis of Algorithms,CSE 2.1,B411
FRIDAY,08:00,08:50,Design and Analysis of Algorithms,CSE 2.1,B419
THURSDAY,08:00,08:50,Design and Analysis of Algorithms,CSE 2.1,B210
WEDNESDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.1,JL1
MONDAY,17:30,19:10,Design and Analysis of Algorithms,CSE 2.1,TLFL1
TUESDAY,15:00,15:50,Design and Analysis of Algorithms,CSE 2.7,A202
MONDAY,13:00,13:50,Design and Analysis of Algorithms,CSE 2.7,B408
FRIDAY,14:00,14:50,Design and Analysis of Algorithms,CSE 2.7,B409
THURSDAY,13:50,15:30,Design and Analysis of Algorithms,CSE 2.7,KFL02
THURSDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.7,TLFL1
