Day,StartTime,EndTime,Course,Group,Room
SATURDAY,16:00,16:50,Object Oriented Programming Using JAVA,CSE-CS 2.1,B423
MONDAY,10:00,10:50,Object Oriented Programming Using JAVA,CSE-CS 2.1,A104/105
WEDNESDAY,16:00,16:50,Object Oriented Programming Using JAVA,CSE-CS 2.1,B405
FRIDAY,17:30,19:10,Object Oriented Programming Using JAVA,CSE-CS 2.1,TLFR1
FRIDAY,11:50,13:30,Object Oriented Programming Using JAVA,CSE-CS 2.1,TLFR4
WEDNESDAY,08:00,09:40,Object Oriented Programming Using JAVA,CSE-CS 2.1,KFL02
THURSDAY,08:00,09:40,Object Oriented Programming Using JAVA,CSE-CS 2.1,TLGL4
SATURDAY,09:00,09:50,Foundations of Artificial Intelligence,CSE-CS 3.1,B218
SATURDAY,08:00,08:50,Foundations of Artificial Intelligence,CSE-CS 3.1,A208
THURSDAY,11:00,11:50,Foundations of Artificial Intelligence,CSE-CS 3.1,A209
MONDAY,08:00,09:40,Foundations of Artificial Intelligence,CSE-CS 3.1,TLFL1
SATURDAY,13:50,15:30,Foundations of Artificial Intelligence,CSE-CS 3.1,TLGL4
