Day,StartTime,EndTime,Course,Teacher,Room
FRIDAY,13:00,13:50,Solid Mechanics,Mr. G Vijayaraghavan,A103
MONDAY,10:00,10:50,Solid Mechanics,Mr. G Vijayaraghavan,A204
MONDAY,08:00,08:50,Solid Mechanics,Mr. G Vijayaraghavan,C301
FRIDAY,15:00,15:50,Transforms and Applied Partial Differential Equations,Mr. Gurunathan S,B212
THURSDAY,11:00,11:50,Transforms and Applied Partial Differential Equations,Mr. Gurunathan S,B416
MONDAY,12:00,12:50,Transforms and Applied Partial Differential Equations,Mr. Gurunathan S,A211
WEDNESDAY,10:00,10:50,Transforms and Applied Partial Differential Equations,Mr. Gurunathan S,B416
THURSDAY,12:00,12:50,Chemical Process Calculations,Mr. Dr.T.R.Sundararaman,B222
WEDNESDAY,09:00,09:50,Chemical Process Calculations,Mr. Dr.T.R.Sundararaman,A204
MONDAY,11:00,11:50,Chemical Process Calculations,Mr. Dr.T.R.Sundararaman,A211
WEDNESDAY,16:00,16:50,Chemical Process Industries,Mrs. Ambigadevi J,C102
FRIDAY,08:00,08:50,Chemical Process Industries,Mrs. Ambigadevi J,B302
TUESDAY,10:00,10:50,Chemical Process Industries,Mrs. Ambigadevi J,B212
THURSDAY,13:00,13:50,Fluid Mechanics for Chemical Engineers,Ms. Mangaleswari S,C201
MONDAY,17:00,17:50,Fluid Mechanics for Chemical Engineers,Ms. Mangaleswari S,B424
TUESDAY,13:00,13:50,Fluid Mechanics for Chemical Engineers,Ms. Mangaleswari S,B426
FRIDAY,10:00,10:50,Fluid Mechanics for Chemical Engineers,Ms. Mangaleswari S,A205
THURSDAY,08:00,09:40,Fluid Mechanics for Chemical Engineers,Ms. Mangaleswari S,Fluid Mechanics Lab
TUESDAY,08:00,09:40,Fluid Mechanics for Chemical Engineers,Ms. Mangaleswari S,Fluid Mechanics Lab
FRIDAY,16:00,16:50,Physical and Organic Chemistry,Mrs. Geetha Chandrasekran,A204
FRIDAY,09:00,09:50,Physical and Organic Chemistry,Mrs. Geetha Chandrasekran,B320
THURSDAY,10:00,10:50,Physical and Organic Chemistry,Mrs. Geetha Chandrasekran,A305
THURSDAY,13:50,15:30,Physical and Organic Chemistry,Mrs. Geetha Chandrasekran,Chemistry Lab
WEDNESDAY,11:50,13:30,Physical and Organic Chemistry,Mrs. Geetha Chandrasekran,Chemistry Lab
