Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,09:00,09:50,Cryptography,CSE-CS 2.1,B416
MONDAY,08:00,08:50,Cryptography,CSE-CS 2.1,A108
FRIDAY,17:00,17:50,Cryptography,CSE-CS 2.1,A202
TUESDAY,11:50,13:30,Cryptography,CSE-CS 2.1,Machine Shop FF1 - EPL - 1
FRIDAY,11:50,13:30,Cryptography,CSE-CS 2.1,Microbiology Lab
THURSDAY,13:00,13:50,Ethical Hacking,CSE-CS 3.1,A210
FRIDAY,14:00,14:50,Ethical Hacking,CSE-CS 3.1,B410
THURSDAY,16:00,16:50,Ethical Hacking,CSE-CS 3.1,A102
MONDAY,11:50,13:30,Ethical Hacking,CSE-CS 3.1,Electrical Machines II Lab
MONDAY,09:50,11:30,Ethical Hacking,CSE-CS 3.1,Concrete & Survey Lab
