Day,StartTime,EndTime,Course,Group,Room
MONDAY,08:10,09:50,Project-1,CSE-4A,140
MONDAY,08:10,09:50,Project-1,CSE-4A,140
MONDAY,08:10,09:50,Project-1,CSE-4A,140
MONDAY,08:10,09:50,Project-1,CSE-4C,140
MONDAY,08:10,09:50,Project-1,CSE-4C,140
MONDAY,08:10,09:50,Project-1,CSE-4C,140
MONDAY,08:10,09:50,Project-1,CSE-4E,140
MONDAY,08:10,09:50,Project-1,CSE-4E,140
MONDAY,08:10,09:50,Project-1,CSE-4E,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2F,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2F,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2F,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2F,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2F,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2F,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2F,140
