Day,StartTime,EndTime,Course,Group,Room
FRIDAY,15:00,15:50,Pattern Recognition and Neural Networks,BME 3.1,B411
FRIDAY,18:00,18:50,Pattern Recognition and Neural Networks,BME 3.1,C302
MONDAY,08:00,08:50,Pattern Recognition and Neural Networks,BME 3.1,C308
FRIDAY,10:00,10:50,Pattern Recognition and Neural Networks,BME 3.2,B302
THURSDAY,10:00,10:50,Pattern Recognition and Neural Networks,BME 3.2,A211
WEDNESDAY,16:00,16:50,Pattern Recognition and Neural Networks,BME 3.2,A208
THURSDAY,14:00,14:50,Hospital Engineering and Management,BME 4.1,B107
WEDNESDAY,09:00,09:50,Hospital Engineering and Management,BME 4.1,B426
TUESDAY,16:00,16:50,Hospital Engineering and Management,BME 4.1,B325
THURSDAY,08:00,09:40,AI-ML-DL in Healthcare,BME 4.2,Electronics and Instrumentation
MONDAY,09:50,11:30,AI-ML-DL in Healthcare,BME 4.2,Electronics and Instrumentation
THURSDAY,11:50,13:30,AI-ML-DL in Healthcare,BME 4.2,Electronics and Instrumentation
MONDAY,11:50,13:30,AI-ML-DL in Healthcare,BME 4.2,Electronics and Instrumentation
FRIDAY,11:50,13:30,AI-ML-DL in Healthcare,BME 4.2,Electronics and Instrumentation
TUESDAY,17:30,19:10,AI-ML-DL in Healthcare,BME 4.2,Electronics and Instrumentation
