Day,StartTime,EndTime,Course,Group,Room
MONDAY,08:10,09:50,Foundations of Machine Learning Concepts,CSD-4A,140
MONDAY,08:10,09:50,Foundations of Machine Learning Concepts,CSD-4A,140
MONDAY,08:10,09:50,Foundations of Machine Learning Concepts,CSD-4A,140
MONDAY,08:10,09:50,Foundations of Machine Learning Concepts,CSD-4A,140
MONDAY,08:10,09:50,Operating Systems,CSD-3A,140
MONDAY,08:10,09:50,Operating Systems,CSD-3A,140
MONDAY,08:10,09:50,Operating Systems,CSD-3A,140
MONDAY,08:10,09:50,Operating Systems,CSD-3A,140
MONDAY,08:10,09:50,Operating Systems,CSD-3A,140
MONDAY,08:10,09:50,Operating Systems,CSD-3A,140
MONDAY,08:10,09:50,Operating Systems,CSD-3A,140
