Day,StartTime,EndTime,Course,Group,Room
FRIDAY,14:00,14:50,Stoichiometry and Fluid Mechanics,BT 2.1,B219
WEDNESDAY,10:00,10:50,Stoichiometry and Fluid Mechanics,BT 2.1,B422
THURSDAY,09:00,09:50,Stoichiometry and Fluid Mechanics,BT 2.1,A109
THURSDAY,16:00,16:50,Stoichiometry and Fluid Mechanics,BT 2.1,A304
WEDNESDAY,08:00,08:50,Stoichiometry and Fluid Mechanics,BT 2.3,B325
FRIDAY,18:00,18:50,Stoichiometry and Fluid Mechanics,BT 2.3,A109
MONDAY,14:00,14:50,Stoichiometry and Fluid Mechanics,BT 2.3,A110
MONDAY,16:00,16:50,Stoichiometry and Fluid Mechanics,BT 2.3,A202
MONDAY,10:00,10:50,Analytical Techniques in Biotechnology,BT 2.1,A109
THURSDAY,14:00,14:50,Analytical Techniques in Biotechnology,BT 2.1,B302
THURSDAY,11:50,13:30,Analytical Techniques in Biotechnology,BT 2.1,Technical Analysis Lab
FRIDAY,15:50,17:30,Analytical Techniques in Biotechnology,BT 2.1,Technical Analysis Lab
