Day,StartTime,EndTime,Course,Group,Room
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2B,140
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2B,140
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2B,140
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2B,140
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2B,140
MONDAY,08:10,09:50,Computer Architecture,CSE-2E,140
MONDAY,08:10,09:50,Computer Architecture,CSE-2E,140
MONDAY,08:10,09:50,Computer Architecture,CSE-2E,140
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2I,140
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2I,140
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2I,140
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2I,140
MONDAY,08:10,09:50,Fundamentals of Data Science,CSE-2I,140
MONDAY,08:10,09:50,Computer Architecture,CSE-2J,140
MONDAY,08:10,09:50,Computer Architecture,CSE-2J,140
MONDAY,08:10,09:50,Computer Architecture,CSE-2J,140
