Day,StartTime,EndTime,Course,Group,Room
MONDAY,08:10,09:50,Advanced Robotic Process Automation,CSE-4A,140
MONDAY,08:10,09:50,Advanced Robotic Process Automation,CSE-4A,140
MONDAY,08:10,09:50,Advanced Robotic Process Automation,CSE-4A,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4A,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4A,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4A,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4B,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4B,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4B,140
MONDAY,08:10,09:50,Advanced Robotic Process Automation,CSE-4C,140
MONDAY,08:10,09:50,Advanced Robotic Process Automation,CSE-4C,140
MONDAY,08:10,09:50,Advanced Robotic Process Automation,CSE-4C,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4C,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4C,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4C,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4D,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4D,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4D,140
MONDAY,08:10,09:50,Advanced Robotic Process Automation,CSE-4E,140
MONDAY,08:10,09:50,Advanced Robotic Process Automation,CSE-4E,140
MONDAY,08:10,09:50,Advanced Robotic Process Automation,CSE-4E,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4E,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4E,140
MONDAY,08:10,09:50,Advanced Application Development with Oracle APEX,CSE-4E,140
