Day,StartTime,EndTime,Course,Group,Room
FRIDAY,13:00,13:50,Mechatronics,MECH 4.1,B218
MONDAY,10:00,10:50,Mechatronics,MECH 4.1,B410
FRIDAY,15:00,15:50,Mechatronics,MECH 4.1,B401
THURSDAY,08:00,09:40,Mechatronics,MECH 4.1,Mechatronics Lab
TUESDAY,17:30,19:10,Mechatronics,MECH 4.1,Mechatronics Lab
MONDAY,15:00,15:50,Supply Chain and Logistics Management,MECH 4.1,A209
TUESDAY,16:00,16:50,Supply Chain and Logistics Management,MECH 4.1,B210
FRIDAY,11:00,11:50,Supply Chain and Logistics Management,MECH 4.1,B218
WEDNESDAY,08:00,08:50,Supply Chain and Logistics Management,MECH 4.2,B423
MONDAY,13:00,13:50,Supply Chain and Logistics Management,MECH 4.2,B417
FRIDAY,09:00,09:50,Supply Chain and Logistics Management,MECH 4.2,A205
