Day,StartTime,EndTime,Course,Group,Room
MONDAY,16:00,16:50,Computer Networks,CSE 3.2,A209
THURSDAY,10:00,10:50,Computer Networks,CSE 3.2,B212
FRIDAY,16:00,16:50,Computer Networks,CSE 3.2,B409
TUESDAY,11:50,13:30,Computer Networks,CSE 3.2,JR2
MONDAY,11:50,13:30,Computer Networks,CSE 3.2,TLFR2
FRIDAY,17:30,19:10,Computer Networks,CSE 3.2,TLFR1
TUESDAY,15:50,17:30,Computer Networks,CSE 3.2,KFR02
WEDNESDAY,11:50,13:30,Project-1,CSE 4.3,KFR02
MONDAY,13:50,15:30,Project-1,CSE 4.3,TLFL1
WEDNESDAY,15:50,17:30,Project-1,CSE 4.3,TLFL2
THURSDAY,08:00,09:40,Project-1,CSE 4.3,KFL02
THURSDAY,11:50,13:30,Project-1,CSE 4.3,TLFL5
TUESDAY,09:50,11:30,Project-1,CSE 4.3,KFR03
