Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,09:00,09:50,Design and Analysis of Algorithms,CSE 2.4,A103
MONDAY,16:00,16:50,Design and Analysis of Algorithms,CSE 2.4,B404
FRIDAY,10:00,10:50,Design and Analysis of Algorithms,CSE 2.4,A304
THURSDAY,08:00,09:40,Design and Analysis of Algorithms,CSE 2.4,KFR02
FRIDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.4,TLFL4
MONDAY,12:00,12:50,Design and Analysis of Algorithms,CSE 2.10,A309
TUESDAY,16:00,16:50,Design and Analysis of Algorithms,CSE 2.10,B322
TUESDAY,13:00,13:50,Design and Analysis of Algorithms,CSE 2.10,A109
MONDAY,13:50,15:30,Design and Analysis of Algorithms,CSE 2.10,TLSL1
THURSDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.10,KFL01
WEDNESDAY,13:00,13:50,Fundamentals of Mobile Computing,CSE 3.2,B419
MONDAY,08:00,08:50,Fundamentals of Mobile Computing,CSE 3.2,B422
WEDNESDAY,15:00,15:50,Fundamentals of Mobile Computing,CSE 3.2,B322
