Day,StartTime,EndTime,Course,Group,Room
MONDAY,12:00,12:50,Database Management Systems,CSE 2.7,C202
WEDNESDAY,16:00,16:50,Database Management Systems,CSE 2.7,B419
WEDNESDAY,08:00,08:50,Database Management Systems,CSE 2.7,A205
THURSDAY,08:00,09:40,Database Management Systems,CSE 2.7,JL1
WEDNESDAY,09:50,11:30,Database Management Systems,CSE 2.7,TLFL4
THURSDAY,11:50,13:30,Database Management Systems,CSE 2.7,TLFL4
FRIDAY,13:50,15:30,Database Management Systems,CSE 2.7,KFL02
TUESDAY,11:00,11:50,Object Oriented Programming Using JAVA,CSE 2.3,B322
WEDNESDAY,14:00,14:50,Object Oriented Programming Using JAVA,CSE 2.3,A305
TUESDAY,14:00,14:50,Object Oriented Programming Using JAVA,CSE 2.3,B408
WEDNESDAY,11:50,13:30,Object Oriented Programming Using JAVA,CSE 2.3,TLGL2
FRIDAY,15:50,17:30,Object Oriented Programming Using JAVA,CSE 2.3,TLFR2
FRIDAY,11:50,13:30,Object Oriented Programming Using JAVA,CSE 2.3,TLSL2
TUESDAY,15:50,17:30,Object Oriented Programming Using JAVA,CSE 2.3,JL3
TUESDAY,18:00,18:50,Object Oriented Programming Using JAVA,CSE 2.10,B401
THURSDAY,16:00,16:50,Object Oriented Programming Using JAVA,CSE 2.10,C101
THURSDAY,10:00,10:50,Object Oriented Programming Using JAVA,CSE 2.10,B211
MONDAY,17:30,19:10,Object Oriented Programming Using JAVA,CSE 2.10,TLGL3
THURSDAY,13:50,15:30,Object Oriented Programming Using JAVA,CSE 2.10,TLFL3
MONDAY,13:50,15:30,Object Oriented Programming Using JAVA,CSE 2.10,KSL03
FRIDAY,09:50,11:30,Object Oriented Programming Using JAVA,CSE 2.10,TLFL4
