Day,StartTime,EndTime,Course,Group,Room
TUESDAY,10:00,10:50,Solid Mechanics,AERO 2.1,B425
WEDNESDAY,14:00,14:50,Solid Mechanics,AERO 2.1,C302
WEDNESDAY,12:00,12:50,Solid Mechanics,AERO 2.1,B426
TUESDAY,11:50,13:30,Solid Mechanics,AERO 2.1,Strength of Materials Lab
FRIDAY,09:50,11:30,Solid Mechanics,AERO 2.1,Strength of Materials Lab
THURSDAY,15:50,17:30,Soft Skills – II,AERO 3.1,Aero CAD Lab
MONDAY,11:50,13:30,Soft Skills – II,AERO 3.1,Auto CAD Lab
TUESDAY,08:00,08:50,Nptel,AERO 3.1,B302
THURSDAY,13:00,13:50,Nptel,AERO 3.1,B403
THURSDAY,10:00,10:50,Nptel,AERO 3.1,C202
