Day,StartTime,EndTime,Course,Group,Room
THURSDAY,14:00,14:50,Computer Networks,AIML 3.1,B423
MONDAY,10:00,10:50,Computer Networks,AIML 3.1,B321
THURSDAY,10:00,10:50,Computer Networks,AIML 3.1,C301
WEDNESDAY,08:00,09:40,Computer Networks,AIML 3.1,Manufacturing Technology I
WEDNESDAY,11:50,13:30,Computer Networks,AIML 3.1,Engineering Practices Lab (Electrical)
WEDNESDAY,13:50,15:30,Computer Networks,AIML 3.1,Machine Shop FF3 - EPL - 3
TUESDAY,11:50,13:30,Computer Networks,AIML 3.1,Engineering Practices Lab (Electrical)
THURSDAY,16:00,16:50,Data Visualization using Python (Professional Elective III),AIML 4.1,B418
TUESDAY,17:00,17:50,Data Visualization using Python (Professional Elective III),AIML 4.1,B401
FRIDAY,17:30,19:10,Data Visualization using Python (Professional Elective III),AIML 4.1,Concrete & Survey Lab
MONDAY,08:00,09:40,Data Visualization using Python (Professional Elective III),AIML 4.1,Soil Mechanics & Highway Lab
MONDAY,16:00,16:50,Data Visualization using Python (Professional Elective III),AIML 4.3,B325
THURSDAY,12:00,12:50,Data Visualization using Python (Professional Elective III),AIML 4.3,B426
MONDAY,13:50,15:30,Data Visualization using Python (Professional Elective III),AIML 4.3,Genetic Engineering Lab
MONDAY,11:50,13:30,Data Visualization using Python (Professional Elective III),AIML 4.3,Medical Image Processing Lab
