Day,StartTime,EndTime,Course,Group,Room
FRIDAY,17:30,19:10,Computer Aided Machine Drawing Laboratory,AUTO 2.1,Auto CAD Lab
WEDNESDAY,08:00,09:40,Computer Aided Machine Drawing Laboratory,AUTO 2.1,Auto CAD Lab
TUESDAY,11:50,13:30,Computer Aided Vehicle Design Data Characteristics Laboratory,AUTO 3.1,Auto CAD Lab
THURSDAY,11:00,11:50,Automotive Electrical and Electronics,AUTO 3.1,B321
MONDAY,09:00,09:50,Automotive Electrical and Electronics,AUTO 3.1,A102
FRIDAY,13:00,13:50,Automotive Electrical and Electronics,AUTO 3.1,A102
MONDAY,15:50,17:30,Automotive Electrical and Electronics,AUTO 3.1,Chemical Reaction Engineering Lab
THURSDAY,09:00,09:50,Intelligent Vehicle System,AUTO 4.1,B222
FRIDAY,16:00,16:50,Intelligent Vehicle System,AUTO 4.1,B401
THURSDAY,13:00,13:50,Intelligent Vehicle System,AUTO 4.1,A108
