Day,StartTime,EndTime,Course,Group,Room
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2A,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2A,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2A,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2A,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2A,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2G,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2G,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2G,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2G,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,CSE-2G,140
MONDAY,08:10,09:50,Deep Learning,AIML-3C,140
MONDAY,08:10,09:50,Deep Learning,AIML-3C,140
MONDAY,08:10,09:50,Deep Learning,AIML-3C,140
MONDAY,08:10,09:50,Deep Learning,AIML-3C,140
MONDAY,08:10,09:50,Deep Learning,AIML-3C,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,AIML-2C,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,AIML-2C,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,AIML-2C,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,AIML-2C,140
MONDAY,08:10,09:50,Design and Analysis of Algorithms,AIML-2C,140
