Day,StartTime,EndTime,Course,Group,Room
TUESDAY,14:00,14:50,Data Mining and Analytics,CSBS 3.1,A202
FRIDAY,17:00,17:50,Data Mining and Analytics,CSBS 3.1,A304
THURSDAY,11:00,11:50,Data Mining and Analytics,CSBS 3.1,B220
FRIDAY,09:50,11:30,Data Mining and Analytics,CSBS 3.1,KSL03
MONDAY,13:50,15:30,Data Mining and Analytics,CSBS 3.1,KFR03
TUESDAY,16:00,16:50,Modern Web Applications,CSBS 4.2,A205
WEDNESDAY,10:00,10:50,Modern Web Applications,CSBS 4.2,B219
THURSDAY,18:00,18:50,Modern Web Applications,CSBS 4.2,B107
FRIDAY,13:50,15:30,Modern Web Applications,CSBS 4.2,KSL03
WEDNESDAY,15:50,17:30,Modern Web Applications,CSBS 4.2,TLSL1
