Day,StartTime,EndTime,Course,Group,Room
THURSDAY,17:00,17:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.1,B405
FRIDAY,13:00,13:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.1,C308
THURSDAY,09:00,09:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.1,B425
MONDAY,12:00,12:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.3,A209
TUESDAY,14:00,14:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.3,A302
FRIDAY,11:00,11:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.3,B425
MONDAY,15:50,17:30,Artificial Intelligence and Machine Learning for Biotechnologist,BT 4.2,Basic Electronics Lab-2
TUESDAY,11:50,13:30,Artificial Intelligence and Machine Learning for Biotechnologist,BT 4.2,Electrical Machines I Lab
TUESDAY,09:50,11:30,Artificial Intelligence and Machine Learning for Biotechnologist,BT 4.2,Fluid Mechanics Lab
WEDNESDAY,13:50,15:30,Artificial Intelligence and Machine Learning for Biotechnologist,BT 4.2,Networks Lab
