Day,StartTime,EndTime,Course,Group,Room
FRIDAY,11:00,11:50,Computer Architecture,CSE 2.6,B403
THURSDAY,08:00,08:50,Computer Architecture,CSE 2.6,B417
MONDAY,10:00,10:50,Computer Architecture,CSE 2.6,A104/105
TUESDAY,13:00,13:50,Web Programming,CSE 3.5,A209
TUESDAY,17:00,17:50,Web Programming,CSE 3.5,A103
MONDAY,18:00,18:50,Web Programming,CSE 3.5,B404
WEDNESDAY,17:30,19:10,Web Programming,CSE 3.5,KFR03
THURSDAY,11:50,13:30,Web Programming,CSE 3.5,TLSL1
TUESDAY,09:50,11:30,Web Programming,CSE 3.5,KFL02
FRIDAY,08:00,09:40,Web Programming,CSE 3.5,TLFR1
