Day,StartTime,EndTime,Course,Group,Room
MONDAY,08:10,09:50,Database Management Systems,CSE-CS-2A,140
MONDAY,08:10,09:50,Database Management Systems,CSE-CS-2A,140
MONDAY,08:10,09:50,Database Management Systems,CSE-CS-2A,140
MONDAY,08:10,09:50,Database Management Systems,CSE-CS-2A,140
MONDAY,08:10,09:50,Database Management Systems,CSE-CS-2A,140
MONDAY,08:10,09:50,Database Management Systems,CSE-CS-2A,140
MONDAY,08:10,09:50,Database Management Systems,CSE-CS-2A,140
MONDAY,08:10,09:50,Design Thinking and Innovation,CSD-3A,140
MONDAY,08:10,09:50,Design Thinking and Innovation,CSD-3A,140
MONDAY,08:10,09:50,Design Thinking and Innovation,CSD-3A,140
MONDAY,08:10,09:50,Design Thinking and Innovation,CSD-3A,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2B,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2B,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2B,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2B,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2B,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2B,140
MONDAY,08:10,09:50,Database Management Systems,CSE-2B,140
MONDAY,08:10,09:50,Database Management Systems,AIML-2B,140
MONDAY,08:10,09:50,Database Management Systems,AIML-2B,140
MONDAY,08:10,09:50,Database Management Systems,AIML-2B,140
MONDAY,08:10,09:50,Database Management Systems,AIML-2B,140
MONDAY,08:10,09:50,Database Management Systems,AIML-2B,140
MONDAY,08:10,09:50,Database Management Systems,AIML-2B,140
MONDAY,08:10,09:50,Database Management Systems,AIML-2B,140
