Day,StartTime,EndTime,Course,Group,Room
MONDAY,12:00,12:50,Sensors and Measurements,BME 2.2,A302
THURSDAY,11:00,11:50,Sensors and Measurements,BME 2.2,C202
FRIDAY,15:50,17:30,Sensors and Measurements,BME 2.2,Power Electronics Lab
MONDAY,15:50,17:30,Sensors and Measurements,BME 2.2,Power Electronics Lab
WEDNESDAY,14:00,14:50,Introduction to Internet of Things,BME 3.2,B401
FRIDAY,18:00,18:50,Comprehension In Biomedical Engineering,BME 4.1,C103
MONDAY,13:50,15:30,AI-ML-DL in Healthcare,BME 4.1,Electronics and Instrumentation
THURSDAY,15:50,17:30,AI-ML-DL in Healthcare,BME 4.1,Electronics and Instrumentation
WEDNESDAY,09:50,11:30,AI-ML-DL in Healthcare,BME 4.1,Electronics and Instrumentation
WEDNESDAY,11:50,13:30,AI-ML-DL in Healthcare,BME 4.1,Electronics and Instrumentation
TUESDAY,09:50,11:30,AI-ML-DL in Healthcare,BME 4.1,Electronics and Instrumentation
TUESDAY,13:50,15:30,AI-ML-DL in Healthcare,BME 4.1,Electronics and Instrumentation
