Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,10:00,10:50,Database Technology,CSBS 2.1,B302
MONDAY,14:00,14:50,Database Technology,CSBS 2.1,C103
TUESDAY,11:00,11:50,Database Technology,CSBS 2.1,A103
WEDNESDAY,15:50,17:30,Database Technology,CSBS 2.1,TLFL5
TUESDAY,08:00,09:40,Database Technology,CSBS 2.1,TLFL5
THURSDAY,15:00,15:50,Usability Design of Software  Applications,CSBS 4.1,B412
FRIDAY,18:00,18:50,Usability Design of Software  Applications,CSBS 4.1,B321
FRIDAY,16:00,16:50,Usability Design of Software  Applications,CSBS 4.1,B423
MONDAY,15:50,17:30,Usability Design of Software  Applications,CSBS 4.1,JL2
MONDAY,09:50,11:30,Usability Design of Software  Applications,CSBS 4.1,KSL03
