Day,StartTime,EndTime,Course,Group,Room
WEDNESDAY,18:00,18:50,Database Management Systems,CSE-2I,B405
TUESDAY,09:00,09:50,Database Management Systems,CSE-2I,B210
MONDAY,11:00,11:50,Database Management Systems,CSE-2I,A209
FRIDAY,17:30,19:10,Database Management Systems,CSE-2I,TLGL3
THURSDAY,11:50,13:30,Database Management Systems,CSE-2I,KFL01
THURSDAY,13:50,15:30,Database Management Systems,CSE-2I,TLSR1
THURSDAY,15:50,17:30,Database Management Systems,CSE-2I,KFR03
TUESDAY,11:00,11:50,Theory of Computation,CSE-3E,B322
FRIDAY,14:00,14:50,Theory of Computation,CSE-3E,B322
TUESDAY,15:00,15:50,Theory of Computation,CSE-3E,B210
WEDNESDAY,12:00,12:50,Theory of Computation,CSE-3E,B210
