Day,StartTime,EndTime,Course,Group,Room
FRIDAY,14:00,14:50,Computer Vision and Applications,AIML 3.1,B412
THURSDAY,15:00,15:50,Computer Vision and Applications,AIML 3.1,B221
MONDAY,13:50,15:30,Computer Vision and Applications,AIML 3.1,Automotive Components Lab
THURSDAY,17:30,19:10,Computer Vision and Applications,AIML 3.1,Food Microbiology Lab
WEDNESDAY,16:00,16:50,Computer Vision and Applications,AIML 3.3,B404
FRIDAY,10:00,10:50,Computer Vision and Applications,AIML 3.3,B320
TUESDAY,11:50,13:30,Computer Vision and Applications,AIML 3.3,Networks Lab
TUESDAY,15:50,17:30,Computer Vision and Applications,AIML 3.3,Thermal Lab 1
FRIDAY,16:00,16:50,Big Data Technology,AIML 4.1,B302
TUESDAY,10:00,10:50,Big Data Technology,AIML 4.1,B424
WEDNESDAY,11:00,11:50,Big Data Technology,AIML 4.1,B405
FRIDAY,08:00,09:40,Big Data Technology,AIML 4.1,Computer Application in Chemical Engg Lab
WEDNESDAY,17:30,19:10,Big Data Technology,AIML 4.1,Chemistry Lab
