Day,StartTime,EndTime,Course,Group,Room
FRIDAY,09:00,09:50,Molecular Genetics,BT 2.1,B401
MONDAY,15:00,15:50,Molecular Genetics,BT 2.1,A304
WEDNESDAY,16:00,16:50,Molecular Genetics,BT 2.1,B107
FRIDAY,14:00,14:50,Molecular Genetics,BT 2.3,A109
THURSDAY,08:00,08:50,Molecular Genetics,BT 2.3,B423
TUESDAY,17:00,17:50,Molecular Genetics,BT 2.3,A304
TUESDAY,11:50,13:30,Immunology lab,BT 3.1,Immunology Lab
MONDAY,08:00,09:40,Immunology lab,BT 3.1,Immunology Lab
THURSDAY,11:50,13:30,Immunology lab,BT 3.1,Immunology Lab
FRIDAY,15:50,17:30,Immunology lab,BT 3.1,Immunology Lab
