Day,StartTime,EndTime,Course,Group,Room
MONDAY,17:00,17:50,Digital Principles and System Design,ECE 2.4,A203
THURSDAY,08:00,08:50,Digital Principles and System Design,ECE 2.4,A104/105
FRIDAY,18:00,18:50,Digital Principles and System Design,ECE 2.4,A303
TUESDAY,13:50,15:30,Analog and Digital Circuits Laboratory,ECE 2.2,Basic Electronics Lab-1
WEDNESDAY,08:00,09:40,Analog and Digital Circuits Laboratory,ECE 2.2,Basic Electronics Lab-1
TUESDAY,17:30,19:10,Analog and Digital Circuits Laboratory,ECE 2.2,Basic Electronics Lab-1
FRIDAY,15:50,17:30,Analog and Digital Circuits Laboratory,ECE 2.2,Digital Lab-1
MONDAY,15:00,15:50,Analog and Digital Communication,IT 2.5,C202
WEDNESDAY,13:00,13:50,Analog and Digital Communication,IT 2.5,C302
MONDAY,11:00,11:50,Analog and Digital Communication,IT 2.5,A108
