Day,StartTime,EndTime,Course,Group,Room
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3D,140
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3D,140
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3D,140
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3D,140
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3D,140
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3E,140
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3E,140
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3E,140
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3E,140
MONDAY,08:10,09:50,Foundations of Artificial Intelligence,CSE-3E,140
