Day,StartTime,EndTime,Course,Group,Room
TUESDAY,14:00,14:50,Deep Learning,AIML-3B,B302
FRIDAY,18:00,18:50,Deep Learning,AIML-3B,B302
WEDNESDAY,12:00,12:50,Deep Learning,AIML-3B,B409
FRIDAY,15:50,17:30,Deep Learning,AIML-3B,KFR03
TUESDAY,08:00,09:40,Deep Learning,AIML-3B,JR3
TUESDAY,16:00,16:50,Big Data Technology,AIML-4A,B211
FRIDAY,11:00,11:50,Big Data Technology,AIML-4A,B221
WEDNESDAY,16:00,16:50,Big Data Technology,AIML-4A,A102
THURSDAY,09:50,11:30,Big Data Technology,AIML-4A,KFR02
MONDAY,17:30,19:10,Big Data Technology,AIML-4A,JL3
